id;descripcion;fecha_factura;fecha_vencimiento;tipo_pago;total_factura;cliente_id
1;BEAC;2022-04-28T20:25:00;2022-04-28T18:55:18;CREDIT;17222;1
2;Loan compressing;2022-04-28T17:25:43;2022-04-28T05:44:19;COUNTED;39532;2
3;overriding;2022-04-28T12:27:59;2022-04-28T09:30:24;CREDIT;83164;3
4;Estratega;2022-04-29T01:15:00;2022-04-29T02:33:52;COUNTED;73229;4
5;asimétrica Pelota;2022-04-28T09:50:22;2022-04-29T00:11:18;CREDIT;80094;5
6;HDD transmit;2022-04-29T01:21:57;2022-04-28T16:11:33;CREDIT;61922;6
7;Loan;2022-04-28T04:53:28;2022-04-28T20:55:37;CREDIT;36214;7
8;International Zapatos USB;2022-04-28T10:16:00;2022-04-28T10:53:12;COUNTED;49744;8
9;Estratega;2022-04-28T21:13:08;2022-04-28T18:59:37;COUNTED;18793;9
10;Granito;2022-04-28T07:23:40;2022-04-28T06:31:38;COUNTED;66760;10
